county,state,annual_v_cumulative,total_pop_change,natural_change,births,deaths,total,international,domestic
Boulder County,Colorado,Cumulative,-508,"1,261","10,393","9,132","-1,535","6,437","-7,972"
Broomfield County,Colorado,Cumulative,"4,217",592,"2,649","2,057","3,643","1,040","2,603"
Chaffee County,Colorado,Cumulative,"1,304",-205,645,850,"1,453",38,"1,415"
Cheyenne County,Colorado,Cumulative,-37,-61,61,122,28,77,-49
Clear Creek County,Colorado,Cumulative,-284,-29,260,289,-239,28,-267
Conejos County,Colorado,Cumulative,90,-19,440,459,113,-3,116
Costilla County,Colorado,Cumulative,190,-83,151,234,278,-5,283
Crowley County,Colorado,Cumulative,-317,-175,111,286,-97,-4,-93
Custer County,Colorado,Cumulative,845,-60,194,254,909,15,894
Delta County,Colorado,Cumulative,"1,018",-850,"1,165","2,015","1,894",62,"1,832"
Denver County,Colorado,Cumulative,"13,506","13,461","35,815","22,354",488,"15,743","-15,255"
Dolores County,Colorado,Cumulative,142,-49,80,129,188,0,188
Douglas County,Colorado,Cumulative,"36,005","7,424","16,074","8,650","28,873","4,652","24,221"
Eagle County,Colorado,Cumulative,"-1,392","1,516","2,234",718,"-2,993",604,"-3,597"
Elbert County,Colorado,Cumulative,"3,336",229,"1,122",893,"3,136",18,"3,118"
El Paso County,Colorado,Cumulative,"20,991","13,962","39,077","25,115","6,778","6,073",705
Fremont County,Colorado,Cumulative,"1,156","-1,281","1,560","2,841","2,340",49,"2,291"
Garfield County,Colorado,Cumulative,"1,478","1,338","3,115","1,777",108,708,-600
Gilpin County,Colorado,Cumulative,161,19,187,168,144,64,80
Grand County,Colorado,Cumulative,440,108,528,420,334,159,175
Gunnison County,Colorado,Cumulative,391,193,540,347,214,66,148
Hinsdale County,Colorado,Cumulative,-36,-17,12,29,-18,0,-18
Huerfano County,Colorado,Cumulative,176,-379,191,570,551,-6,557
Jackson County,Colorado,Cumulative,-107,-13,42,55,-95,0,-95
Jefferson County,Colorado,Cumulative,"-4,411",917,"23,290","22,373","-5,438","4,732","-10,170"
Kiowa County,Colorado,Cumulative,-53,-33,64,97,-24,10,-34
Kit Carson County,Colorado,Cumulative,-1,0,389,389,5,120,-115
Lake County,Colorado,Cumulative,-67,165,351,186,-228,16,-244
La Plata County,Colorado,Cumulative,"1,185",-75,"1,822","1,897","1,205",119,"1,086"
Larimer County,Colorado,Cumulative,"15,509","1,379","13,096","11,717","13,735","3,142","10,593"
Las Animas County,Colorado,Cumulative,-45,-487,506,993,436,122,314
Lincoln County,Colorado,Cumulative,-75,-47,220,267,-19,8,-27
Logan County,Colorado,Cumulative,-774,-333,842,"1,175",-382,121,-503
Mesa County,Colorado,Cumulative,"5,555","-1,583","6,205","7,788","7,063",375,"6,688"
Mineral County,Colorado,Cumulative,68,-22,23,45,95,0,95
Moffat County,Colorado,Cumulative,-151,-2,540,542,-144,-2,-142
Montezuma County,Colorado,Cumulative,993,-424,"1,034","1,458","1,419",340,"1,079"
Montrose County,Colorado,Cumulative,"2,128",-582,"1,695","2,277","2,706",461,"2,245"
Morgan County,Colorado,Cumulative,"1,188",436,"1,752","1,316",764,"1,173",-409
Otero County,Colorado,Cumulative,-695,-327,837,"1,164",-384,30,-414
Ouray County,Colorado,Cumulative,317,-34,136,170,361,62,299
Park County,Colorado,Cumulative,923,-3,597,600,927,83,844
Phillips County,Colorado,Cumulative,-48,-68,225,293,20,120,-100
Pitkin County,Colorado,Cumulative,-723,274,540,266,"-1,048",175,"-1,223"
Prowers County,Colorado,Cumulative,-46,-5,626,631,-48,223,-271
Pueblo County,Colorado,Cumulative,"1,704","-2,619","7,225","9,844","4,282",628,"3,654"
Rio Blanco County,Colorado,Cumulative,81,-26,242,268,107,35,72
Rio Grande County,Colorado,Cumulative,-411,-183,515,698,-229,-7,-222
Routt County,Colorado,Cumulative,412,281,874,593,127,240,-113
Saguache County,Colorado,Cumulative,297,-52,267,319,356,10,346
San Juan County,Colorado,Cumulative,120,-1,25,26,118,0,118
San Miguel County,Colorado,Cumulative,-251,80,218,138,-336,75,-411
Sedgwick County,Colorado,Cumulative,-144,-132,72,204,-10,10,-20
Summit County,Colorado,Cumulative,-410,717,"1,083",366,"-1,159",497,"-1,656"
Teller County,Colorado,Cumulative,156,-228,781,"1,009",407,192,215
Washington County,Colorado,Cumulative,-47,-67,206,273,20,35,-15
Weld County,Colorado,Cumulative,"40,759","9,671","19,737","10,066","30,857","3,207","27,650"
Yuma County,Colorado,Cumulative,68,118,551,433,-61,565,-626
Capitol Planning Region,Connecticut,Cumulative,"13,823","-1,223","39,760","40,983","17,772","26,308","-8,536"
Greater Bridgeport Planning Region,Connecticut,Cumulative,"9,888","3,301","14,304","11,003","6,435","13,403","-6,968"
Lower Connecticut River Valley Planning Region,Connecticut,Cumulative,"3,316","-1,575","5,981","7,556","5,162","2,185","2,977"
Naugatuck Valley Planning Region,Connecticut,Cumulative,"12,054",-527,"18,487","19,014","12,769","8,769","4,000"
Northeastern Connecticut Planning Region,Connecticut,Cumulative,"2,357",-881,"3,545","4,426","3,228",681,"2,547"
Northwest Hills Planning Region,Connecticut,Cumulative,"1,645","-1,362","3,828","5,190","3,094",993,"2,101"
South Central Connecticut Planning Region,Connecticut,Cumulative,"5,986",-684,"23,901","24,585","7,844","14,151","-6,307"
Southeastern Connecticut Planning Region,Connecticut,Cumulative,"2,170","-1,777","11,041","12,818","4,263","3,745",518
Western Connecticut Planning Region,Connecticut,Cumulative,"16,129","5,332","26,921","21,589","10,387","24,925","-14,538"
Kent County,Delaware,Cumulative,"10,846",-188,"8,943","9,131","11,025","1,744","9,281"
New Castle County,Delaware,Cumulative,"17,372","2,116","25,841","23,725","15,022","12,660","2,362"
Sussex County,Delaware,Cumulative,"33,744","-4,252","9,973","14,225","38,058","3,344","34,714"
District of Columbia,District of Columbia,Cumulative,"12,705","11,534","35,004","23,470","5,309","34,639","-29,330"
Alachua County,Florida,Cumulative,"13,308","1,130","11,058","9,928","12,277","9,285","2,992"
Baker County,Florida,Cumulative,"1,061",87,"1,515","1,428",907,107,800
Bay County,Florida,Cumulative,"24,508",-779,"8,676","9,455","25,138","5,232","19,906"
Bradford County,Florida,Cumulative,-230,-318,"1,240","1,558",26,-1,27
Brevard County,Florida,Cumulative,"51,840","-15,109","21,532","36,641","66,667","9,306","57,361"
Broward County,Florida,Cumulative,"93,068","13,175","87,329","74,154","80,333","147,081","-66,748"
Calhoun County,Florida,Cumulative,-364,-399,538,937,54,56,-2
Charlotte County,Florida,Cumulative,"25,298","-9,443","4,483","13,926","34,902","3,164","31,738"
Citrus County,Florida,Cumulative,"16,329","-9,751","4,250","14,001","26,045",777,"25,268"
Clay County,Florida,Cumulative,"18,515",-726,"9,466","10,192","19,138","1,563","17,575"
Collier County,Florida,Cumulative,"40,472","-4,453","14,155","18,608","45,282","19,856","25,426"
Columbia County,Florida,Cumulative,"4,279","-1,336","3,151","4,487","5,409","1,023","4,386"
DeSoto County,Florida,Cumulative,"2,769",-239,"1,634","1,873","2,957",661,"2,296"
Dixie County,Florida,Cumulative,858,-521,658,"1,179","1,381",14,"1,367"
Duval County,Florida,Cumulative,"59,598","9,691","53,038","43,347","48,887","31,707","17,180"
Escambia County,Florida,Cumulative,"9,371","-2,320","15,570","17,890","11,642","4,597","7,045"
Flagler County,Florida,Cumulative,"21,369","-3,831","3,564","7,395","25,150","1,465","23,685"
Franklin County,Florida,Cumulative,525,-359,390,749,854,61,793
Gadsden County,Florida,Cumulative,332,-599,"1,970","2,569",995,630,365
Gilchrist County,Florida,Cumulative,"2,373",-187,881,"1,068","2,530",402,"2,128"
Glades County,Florida,Cumulative,"1,006",-375,309,684,"1,380",168,"1,212"
Gulf County,Florida,Cumulative,"1,681",-568,457,"1,025","2,168",124,"2,044"
Hamilton County,Florida,Cumulative,330,-109,721,830,514,2,512
Hardee County,Florida,Cumulative,736,165,"1,506","1,341",548,357,191
Hendry County,Florida,Cumulative,"6,511",596,"2,324","1,728","5,819","2,497","3,322"
Hernando County,Florida,Cumulative,"23,640","-7,214","6,836","14,050","30,801","2,169","28,632"
Highlands County,Florida,Cumulative,"8,546","-4,752","3,551","8,303","13,279","1,681","11,598"
Hillsborough County,Florida,Cumulative,"121,652","16,744","71,898","55,154","104,396","79,023","25,373"
Holmes County,Florida,Cumulative,221,-536,856,"1,392",753,10,743
Indian River County,Florida,Cumulative,"12,350","-5,802","5,189","10,991","18,228","2,714","15,514"
Jackson County,Florida,Cumulative,"2,664","-1,004","2,127","3,131","3,567",186,"3,381"
Jefferson County,Florida,Cumulative,"1,409",-318,557,875,"1,689",81,"1,608"
Lafayette County,Florida,Cumulative,412,-174,309,483,582,35,547
Lake County,Florida,Cumulative,"60,240","-7,330","15,374","22,704","67,233","7,651","59,582"
Lee County,Florida,Cumulative,"100,137","-7,507","30,887","38,394","107,588","32,361","75,227"
Leon County,Florida,Cumulative,"8,281","1,487","11,774","10,287","6,964","6,979",-15
Levy County,Florida,Cumulative,"4,852","-1,222","1,643","2,865","6,054",458,"5,596"
Liberty County,Florida,Cumulative,-24,-30,317,347,49,4,45
Madison County,Florida,Cumulative,393,-542,777,"1,319",938,91,847
Manatee County,Florida,Cumulative,"58,636","-5,511","15,588","21,099","63,894","10,673","53,221"
Marion County,Florida,Cumulative,"53,003","-12,132","15,008","27,140","64,646","6,740","57,906"
Martin County,Florida,Cumulative,"7,236","-4,567","5,373","9,940","11,752","2,920","8,832"
Miami-Dade County,Florida,Cumulative,"136,710","21,130","121,797","100,667","115,753","320,641","-204,888"
Monroe County,Florida,Cumulative,"-1,962",-307,"3,068","3,375","-1,663","2,551","-4,214"
Nassau County,Florida,Cumulative,"14,020","-1,391","3,507","4,898","15,389",269,"15,120"
Okaloosa County,Florida,Cumulative,"8,821","1,665","11,065","9,400","6,986","5,547","1,439"
Okeechobee County,Florida,Cumulative,"2,729",-248,"2,255","2,503","2,941",508,"2,433"
Orange County,Florida,Cumulative,"103,736","26,463","69,046","42,583","76,948","112,180","-35,232"
Osceola County,Florida,Cumulative,"79,397","6,896","20,414","13,518","72,210","34,905","37,305"
Palm Beach County,Florida,Cumulative,"89,853","-8,121","63,021","71,142","98,144","85,523","12,621"
Pasco County,Florida,Cumulative,"97,224","-8,850","23,073","31,923","105,861","10,769","95,092"
Pinellas County,Florida,Cumulative,"6,759","-24,633","31,195","55,828","31,272","19,368","11,904"
Polk County,Florida,Cumulative,"127,842",-155,"36,740","36,895","127,502","20,375","107,127"
Putnam County,Florida,Cumulative,"3,976","-1,885","3,427","5,312","5,789",652,"5,137"
St Johns County,Florida,Cumulative,"61,505",-909,"10,093","11,002","63,091","4,951","58,140"
St Lucie County,Florida,Cumulative,"61,446","-2,975","14,759","17,734","64,319","7,829","56,490"
Santa Rosa County,Florida,Cumulative,"19,655",-145,"8,415","8,560","19,772","1,205","18,567"
Sarasota County,Florida,Cumulative,"42,596","-16,517","12,308","28,825","59,580","9,163","50,417"
Seminole County,Florida,Cumulative,"23,753","1,788","19,447","17,659","21,558","17,698","3,860"
Sumter County,Florida,Cumulative,"24,940","-9,053","2,196","11,249","33,558",669,"32,889"
Suwannee County,Florida,Cumulative,"4,063","-1,263","1,802","3,065","5,217",255,"4,962"
Taylor County,Florida,Cumulative,46,-523,900,"1,423",588,484,104
Union County,Florida,Cumulative,-403,-516,596,"1,112",238,12,226
Volusia County,Florida,Cumulative,"49,228","-14,919","20,817","35,736","64,012","8,610","55,402"
Wakulla County,Florida,Cumulative,"3,349",-293,"1,421","1,714","3,569",99,"3,470"
Walton County,Florida,Cumulative,"14,357",214,"3,942","3,728","14,185",809,"13,376"
Washington County,Florida,Cumulative,"1,192",-477,"1,094","1,571","1,630",161,"1,469"
Appling County,Georgia,Cumulative,226,-154,883,"1,037",382,138,244
Atkinson County,Georgia,Cumulative,146,48,556,508,89,253,-164
Bacon County,Georgia,Cumulative,-98,-96,586,682,-10,18,-28
Baker County,Georgia,Cumulative,-141,-102,95,197,-38,38,-76
Baldwin County,Georgia,Cumulative,-147,-686,"1,675","2,361",495,50,445
Banks County,Georgia,Cumulative,"2,226",-10,992,"1,002","2,200",1,"2,199"
Barrow County,Georgia,Cumulative,"12,767","1,390","4,862","3,472","11,316",646,"10,670"
Bartow County,Georgia,Cumulative,"8,608",466,"5,548","5,082","8,065",309,"7,756"
Ben Hill County,Georgia,Cumulative,-246,-343,877,"1,220",92,60,32
Berrien County,Georgia,Cumulative,507,-215,917,"1,132",695,-1,696
Bibb County,Georgia,Cumulative,-289,-310,"8,535","8,845",63,891,-828
Bleckley County,Georgia,Cumulative,41,-223,529,752,285,0,285
Brantley County,Georgia,Cumulative,774,-196,856,"1,052",962,125,837
Brooks County,Georgia,Cumulative,44,-308,677,985,356,202,154
Bryan County,Georgia,Cumulative,"6,366","1,070","2,629","1,559","5,347",373,"4,974"
Bulloch County,Georgia,Cumulative,"5,811",637,"3,631","2,994","4,971",361,"4,610"
Burke County,Georgia,Cumulative,-126,-86,"1,179","1,265",-34,26,-60
Butts County,Georgia,Cumulative,"1,689",-294,"1,206","1,500","1,996",90,"1,906"
Calhoun County,Georgia,Cumulative,-134,-91,189,280,-40,15,-55
Camden County,Georgia,Cumulative,"4,329","1,120","3,196","2,076","3,154",62,"3,092"
Candler County,Georgia,Cumulative,139,-214,611,825,353,-5,358
Carroll County,Georgia,Cumulative,"10,779",848,"6,571","5,723","9,800","1,006","8,794"
Catoosa County,Georgia,Cumulative,"1,067","-1,159","2,481","3,640","2,196",86,"2,110"
Charlton County,Georgia,Cumulative,505,-168,496,664,690,2,688
Chatham County,Georgia,Cumulative,"12,072","2,247","15,075","12,828","9,335","5,138","4,197"
Chattahoochee County,Georgia,Cumulative,"-1,021",591,764,173,"-1,586",105,"-1,691"
Chattooga County,Georgia,Cumulative,335,-660,"1,071","1,731",972,184,788
Cherokee County,Georgia,Cumulative,"26,913","3,267","12,249","8,982","23,657","3,270","20,387"
Clarke County,Georgia,Cumulative,"1,333","1,413","5,416","4,003",-44,"2,557","-2,601"
Clay County,Georgia,Cumulative,-31,-70,123,193,46,12,34
Clayton County,Georgia,Cumulative,"-1,691","5,720","15,625","9,905","-7,523","4,884","-12,407"
Clinch County,Georgia,Cumulative,126,-2,389,391,128,127,1
Cobb County,Georgia,Cumulative,"21,452","14,790","37,060","22,270","6,575","21,215","-14,640"
Coffee County,Georgia,Cumulative,763,184,"2,400","2,216",557,525,32
Colquitt County,Georgia,Cumulative,"1,078",20,"2,588","2,568","1,058","1,349",-291
Columbia County,Georgia,Cumulative,"11,461","2,138","7,623","5,485","9,351","1,457","7,894"
Cook County,Georgia,Cumulative,753,-99,930,"1,029",834,319,515
Coweta County,Georgia,Cumulative,"12,064","1,098","7,010","5,912","10,941","1,410","9,531"
Crawford County,Georgia,Cumulative,223,-373,438,811,590,13,577
Crisp County,Georgia,Cumulative,-662,-272,"1,003","1,275",-388,-3,-385
Dade County,Georgia,Cumulative,-178,-439,535,974,261,19,242
Dawson County,Georgia,Cumulative,"6,951",101,"1,404","1,303","6,828",82,"6,746"
Decatur County,Georgia,Cumulative,24,-214,"1,473","1,687",242,109,133
DeKalb County,Georgia,Cumulative,"5,775","18,444","42,588","24,144","-12,239","24,383","-36,622"
Dodge County,Georgia,Cumulative,-372,-534,773,"1,307",148,71,77
Dooly County,Georgia,Cumulative,-28,-270,403,673,210,146,64
Dougherty County,Georgia,Cumulative,"-3,378",-353,"4,547","4,900","-2,826",381,"-3,207"
Douglas County,Georgia,Cumulative,"7,551","2,015","7,213","5,198","5,466","1,039","4,427"
Early County,Georgia,Cumulative,-407,-278,472,750,-114,-2,-112
Echols County,Georgia,Cumulative,-6,71,209,138,-78,38,-116
Effingham County,Georgia,Cumulative,"8,356",887,"3,466","2,579","7,381",133,"7,248"
Elbert County,Georgia,Cumulative,518,-434,964,"1,398",927,21,906
Emanuel County,Georgia,Cumulative,452,-277,"1,227","1,504",722,80,642
Evans County,Georgia,Cumulative,93,-84,521,605,174,11,163
Fannin County,Georgia,Cumulative,534,"-1,160",758,"1,918","1,733",-11,"1,744"
Fayette County,Georgia,Cumulative,"5,911",-802,"3,828","4,630","6,808","1,692","5,116"
Floyd County,Georgia,Cumulative,"2,810",-906,"4,801","5,707","3,578","1,024","2,554"
Forsyth County,Georgia,Cumulative,"28,811","3,411","10,299","6,888","25,680","6,412","19,268"
Franklin County,Georgia,Cumulative,"1,779",-351,"1,169","1,520","2,068",235,"1,833"
Fulton County,Georgia,Cumulative,"23,808","16,494","49,607","33,113","7,495","26,847","-19,352"
Gilmer County,Georgia,Cumulative,"1,985",-605,"1,288","1,893","2,610",87,"2,523"
Glascock County,Georgia,Cumulative,128,-75,137,212,203,0,203
Glynn County,Georgia,Cumulative,"2,035",-994,"3,685","4,679","2,966",625,"2,341"
Gordon County,Georgia,Cumulative,"3,217",-262,"2,803","3,065","3,453",349,"3,104"
Grady County,Georgia,Cumulative,33,-134,"1,268","1,402",187,124,63
Greene County,Georgia,Cumulative,"2,176",-534,578,"1,112","2,709",106,"2,603"
Gwinnett County,Georgia,Cumulative,"46,579","24,218","47,648","23,430","22,048","34,730","-12,682"
Habersham County,Georgia,Cumulative,"3,636",-264,"2,205","2,469","3,873",555,"3,318"
Hall County,Georgia,Cumulative,"18,922","3,088","11,279","8,191","15,580","3,672","11,908"
Hancock County,Georgia,Cumulative,-50,-433,225,658,366,11,355
Haralson County,Georgia,Cumulative,"2,486",-348,"1,498","1,846","2,813",15,"2,798"
Harris County,Georgia,Cumulative,"2,262",-186,"1,301","1,487","2,471",100,"2,371"
Hart County,Georgia,Cumulative,"2,221",-531,"1,123","1,654","2,708",52,"2,656"
Heard County,Georgia,Cumulative,709,-203,490,693,903,0,903
Henry County,Georgia,Cumulative,"18,610","2,802","11,564","8,762","15,815","1,564","14,251"
Houston County,Georgia,Cumulative,"11,257","1,923","8,574","6,651","9,369","1,170","8,199"
Irwin County,Georgia,Cumulative,-511,-208,429,637,-313,4,-317
Jackson County,Georgia,Cumulative,"17,907",778,"4,227","3,449","17,137",643,"16,494"
Jasper County,Georgia,Cumulative,"2,621",-33,754,787,"2,651",34,"2,617"
Jeff Davis County,Georgia,Cumulative,340,-220,701,921,560,23,537
Jefferson County,Georgia,Cumulative,-690,-505,694,"1,199",-190,50,-240
Jenkins County,Georgia,Cumulative,161,-153,388,541,317,19,298
Johnson County,Georgia,Cumulative,-10,-231,400,631,198,13,185
Jones County,Georgia,Cumulative,698,-385,"1,125","1,510","1,061",-2,"1,063"
Lamar County,Georgia,Cumulative,"2,188",-211,901,"1,112","2,311",54,"2,257"
Lanier County,Georgia,Cumulative,582,74,546,472,515,236,279
Laurens County,Georgia,Cumulative,714,-529,"2,522","3,051","1,213",278,935
Lee County,Georgia,Cumulative,914,43,"1,347","1,304",862,203,659
Liberty County,Georgia,Cumulative,"3,323","3,638","5,863","2,225",-302,720,"-1,022"
Lincoln County,Georgia,Cumulative,361,-128,326,454,491,15,476
Long County,Georgia,Cumulative,"4,288",575,"1,188",613,"3,655",69,"3,586"
Lowndes County,Georgia,Cumulative,"3,829","1,761","6,641","4,880","1,987",359,"1,628"
Lumpkin County,Georgia,Cumulative,"2,529",-299,"1,336","1,635","2,725",261,"2,464"
McDuffie County,Georgia,Cumulative,132,-125,"1,125","1,250",237,-3,240
McIntosh County,Georgia,Cumulative,828,-392,412,804,"1,204",4,"1,200"
Macon County,Georgia,Cumulative,-247,-235,518,753,-6,74,-80
Madison County,Georgia,Cumulative,"2,644",78,"1,675","1,597","2,553",151,"2,402"
Marion County,Georgia,Cumulative,132,-170,307,477,313,87,226
Meriwether County,Georgia,Cumulative,817,-366,"1,021","1,387","1,182",0,"1,182"
Miller County,Georgia,Cumulative,-176,-193,247,440,24,1,23
Mitchell County,Georgia,Cumulative,"-1,437",-279,999,"1,278","-1,159",7,"-1,166"
Monroe County,Georgia,Cumulative,"3,480",-476,"1,163","1,639","3,933",44,"3,889"
Montgomery County,Georgia,Cumulative,-36,-147,396,543,111,59,52
Morgan County,Georgia,Cumulative,"1,840",-155,912,"1,067","1,996",52,"1,944"
Murray County,Georgia,Cumulative,"1,341",-231,"1,893","2,124","1,518",30,"1,488"
